feature,rf_importance,et_importance,mi_score,f_score,pearson_corr,spearman_corr,rf_importance_norm,et_importance_norm,mi_score_norm,f_score_norm,pearson_corr_norm,composite_score
cloud_cover_max (%),0.3439702885148954,0.31843342582160306,0.9854618726659916,10502.20562172955,0.03856608915159075,0.07378936119702759,1.0,1.0,1.0,0.0,0.12181150394581335,0.6243623007891627
rain_today,0.06643768380902845,0.155476539112043,0.600577479744171,inf,0.31660465475203803,0.3864081271255828,0.19314948420654482,0.4882544560480473,0.6094375606023352,,1.0,0.5727103752142318
rain_sum (mm),0.13712295676582362,0.04813599803217018,0.7958529046976768,2128.0252953005233,0.21949103219238453,0.40156493052834735,0.39864767784990124,0.15116502894748732,0.807593806287643,0.0,0.6932653354837375,0.4101343697137538
precipitation_hours (h),0.0756644292582458,0.05365536835997641,0.669354352513635,2030.6506623039465,0.2826853584526359,0.3961027013763958,0.21997373547851998,0.16849791513418547,0.6792290712402865,0.0,0.8928654528911857,0.39211323494883554
relative_humidity_2m_min (%),0.01142710533809344,0.014478397345989968,0.12827120630136646,288.2394094956022,0.17078393163173355,0.2195874337379179,0.03322119880595035,0.045467580259935546,0.1301635404263298,0.0,0.5394233125393877,0.14965512640632067
temp_range,0.01424874083998681,0.014051136623104876,0.12302207113655417,232.8154203397961,0.1582647635358902,0.21623800771334087,0.04142433610038321,0.04412582186323865,0.12483696685670838,0.0,0.49988135411288176,0.1420536957866424
sunshine_ratio,0.02756900466995544,0.019657666853175756,0.23285206250301638,353.49778322339677,0.09751180955615521,0.11602390278282793,0.08014937798548138,0.06173242272684223,0.23628723643369032,0.0,0.30799234342440607,0.137232276114084
et0_fao_evapotranspiration_sum (mm),0.016472765014032352,0.016324196620073315,0.15030449943226998,344.10401767673466,0.12689813814146708,0.19826520221642663,0.04789008110309216,0.05126408001281458,0.15252188197362515,0.0,0.40080945190415024,0.13049709899873643
sunshine_duration (s),0.01719259704102104,0.017579306779699315,0.20672691085682615,379.7834580612472,0.1008000873529693,0.16015467985711357,0.049982796814372316,0.05520559512350887,0.2097766708087481,0.0,0.31837841244600473,0.1266686950385268
humidity_range,0.009254268704341914,0.012535939592006147,0.0876905762903637,159.6873010098432,0.11587491326703808,0.15795602874290993,0.02690426764560848,0.03936753674543324,0.08898424050961247,0.0,0.3659924499776868,0.1042496989756682
temperature_2m_max (°C),0.013562884350312781,0.013339752993957798,0.11029271867869062,224.43708050668852,0.10263891297727168,0.1718019935349212,0.039430395017171514,0.04189181132457862,0.11191982332133592,0.0,0.3241863675619601,0.10348567944500923
daylight_to_sunshine_ratio,0.025689607343079394,0.01560641425620407,0.23252476881818707,24.052159856216573,0.04519218423036517,0.11601646696257989,0.07468554174837377,0.04900997505502862,0.23595511431521213,0.0,0.1427401131097055,0.100478148845664
cloud_cover_min (%),0.012118760281911447,0.011306914842734182,0.17157497340385808,196.58956204142834,0.07837070907646246,0.16085966726681003,0.035231997316496864,0.03550793957500143,0.1741061507937314,0.0,0.24753492376112318,0.09847620228927058
relative_humidity_2m_max (%),0.012860348344944377,0.013914059254646574,0.04296030060344336,41.350262527420355,0.08501969438772636,0.09654143411973444,0.03738796278152224,0.04369534768137592,0.043594076843604224,0.0,0.26853583202784254,0.07864264386686899
wind_gusts_10m_max (km/h),0.009892933071931249,0.012541272870003992,0.04574041697675035,52.38385974497566,0.08239216218660039,0.07251495980195877,0.02876101047751641,0.03938428523213523,0.04641520716880482,0.0,0.26023673673126885,0.07495944792194506
dew_point_range,0.009655742438064253,0.011455851304766252,0.0394433401526304,43.543509168457,0.08532844763837127,0.1281503959311156,0.02807144326259481,0.03597565574408071,0.040025232073082104,0.0,0.26951103326386583,0.07471667286872469
dayofyear_cos,0.013592777374712216,0.015187653686285614,0.11107581707794445,160.74002642020537,0.05107701220023746,0.11905793679354026,0.03951730085002266,0.04769491031633796,0.1127144744600302,0.0,0.16132742028142485,0.07225082118156315
daylight_duration (s),0.011693054557478422,0.013252684599985007,0.06830197570481644,133.9175649889672,0.05403674418561029,0.11520155248326742,0.03399437378142055,0.04161838401791902,0.06930960760565764,0.0,0.17067577300128892,0.06311962768125723
avg_wind_speed,0.009983308361683436,0.01153963353202902,0.021068710637972998,45.72025627010008,0.06907432000609033,0.06339706497310188,0.029023752036220173,0.03623876325877267,0.021379528952221515,0.0,0.21817215561845965,0.06096283997313481
wind_gusts_10m_min (km/h),0.00963863586988201,0.011707212469862803,0.027784538189083996,41.15030962295414,0.06492056279961736,0.0696307475996344,0.02802171057127399,0.03676502377115891,0.02819443243797741,0.0,0.20505245840577604,0.059606725037237275
soil_moisture_0_to_100cm_mean (m³/m³),0.010670364763563162,0.012644723162215996,0.04392685639796934,58.48299669090618,0.05704204337309972,0.09727739102293352,0.03102118153760565,0.03970915782346288,0.044574891851607665,0.0,0.1801680503332288,0.059094656309181
pressure_range,0.010220476709907866,0.01242309475043155,0.039039329723993266,60.48499456328051,0.05444914568916004,0.08102224974154217,0.029713254461701203,0.03901316175705555,0.03961526143916589,0.0,0.17197834861841854,0.05606400525526824
month_cos,0.0033855217222222064,0.008293890020620937,0.06172893691538084,117.58372748970748,0.05701114906709506,0.11833849126772084,0.009842483014563039,0.0260459152465591,0.06263959938742653,0.0,0.1800704702580753,0.055719693581324795
dayofyear_sin,0.010820613468543721,0.0113996557179597,0.11746716456767636,20.553768114041713,0.024531139493703866,0.005835009251274784,0.031457988756128104,0.03579918059339086,0.11920011095902662,0.0,0.07748192935734453,0.05278784193317802
wind_speed_10m_min (km/h),0.00960727069217604,0.011543172312504924,0.012665274567500884,30.931199520423167,0.05158608691227448,0.04951653274339202,0.02793052485334065,0.03624987635240212,0.012852120329361134,0.0,0.16293533950938355,0.04799357220889749
temperature_2m_min (°C),0.010923065596543626,0.013009895234499667,0.05771888946107806,98.98396902172841,0.0335645190576902,0.08447629505754814,0.03175584043524332,0.040855934646095354,0.05857039329683033,0.0,0.10601397848675863,0.047439229372985524
dayofyear,0.009072220632842192,0.010948368807282338,0.11512628218989018,6.646754122094868,0.0184449291287253,0.006323973555036381,0.02637501242334576,0.034381970985093685,0.11682469447390849,0.0,0.05825855322048631,0.04716804622056685
wind_gust_range,0.010145765815638483,0.012149649926460605,0.0037279238823528793,16.23889760322994,0.04634257874971083,0.03644092146370677,0.029496052869691758,0.03815444278537279,0.0037829204617197873,0.0,0.14637364945251968,0.0435614131138608
month,0.003481612902970634,0.00819648948593783,0.11298080753415185,6.805102039075314,0.019586725045711344,0.007726045149125066,0.010121841970719704,0.02574004115550914,0.11464756848329646,0.0,0.061864930763735906,0.04247487647465224
pressure_msl_min (hPa),0.012407378104136628,0.012968541521900086,0.030042216621265716,25.816570335646862,0.029511177746404625,0.03902244375040469,0.03607107508531027,0.040726068528890845,0.03048541750275112,0.0,0.09321144621047192,0.040098801465484835
wind_variability,0.010767898907727409,0.012216105591724646,0.0033689217967198815,17.979773770459396,0.0393303084164236,0.03810733064200619,0.031304735517181485,0.03836313841803942,0.003418622161003412,0.0,0.12422530062682353,0.03946235934460957
dew_point_2m_min (°C),0.011045009754564395,0.01230904499157925,0.03113272829093905,39.905863935787565,0.026177496111512672,0.005086579666119726,0.032110359886755445,0.03865500287798048,0.031592017057661494,0.0,0.08268196856427981,0.03700786967733545
year,0.00923105665691514,0.012283103400924027,0.00799518914656172,5.273693872350845,0.025471625465635004,0.019800484579881407,0.026836784935031954,0.03857353658533771,0.008113138994339944,0.0,0.08045246676990317,0.030795185456922558
pressure_msl_max (hPa),0.011975029985788217,0.012525121773222183,0.023425734242264795,12.305354344772129,0.01135850155388807,0.010412173553219136,0.03481414059769772,0.03933356475032609,0.02377132478894454,0.0,0.035875977764079144,0.026759001580209503
day,0.008271833868216293,0.011066162629585692,0.0038913891579581694,0.678119828882483,0.015807928049641123,0.018452382489955028,0.024048105735905986,0.03475188762308302,0.003948797275566541,0.0,0.04992955034733066,0.02253566819637724
month_sin,0.003167734167911496,0.008360394700089525,0.03814693787140744,50.698033462819524,0.011603972444199234,0.00465163738510226,0.00920932497277107,0.02625476480215144,0.03870970448426147,0.0,0.03665130082590656,0.022165019017018107
dayofweek,0.0054210030146284605,0.010800281641583809,0.00600343651760582,0.6258715675118715,0.004422365595663113,0.0016504395962414656,0.01576009090213531,0.03391692192400205,0.006092002830474397,0.0,0.013968100371508026,0.013947423205623958
is_weekend,0.0013382512862801224,0.006682879381159845,0.00357117978412802,0.9733711646189568,0.0006223113058458059,0.004353895511697195,0.0038906014006560635,0.020986739579606242,0.003623863980112015,0.0,0.001965578510945124,0.006093356694263889
